appid,name,primary_genre,price_usd,release_year,reviews_total,log_reviews
6330,World of Zoo,Simulation,9.99,2009.0,176.0,5.176149732573829
6340,The Haunted: Hells Reach,Action,8.99,2011.0,533.0,6.280395838960195
6350,M.U.D. TV,Simulation,9.99,2010.0,138.0,4.9344739331306915
6360,Nancy Drew®: Warnings at Waverly Academy,Adventure,14.99,2010.0,303.0,5.717027701406222
6600,GT Legends,Racing,7.99,2012.0,208.0,5.342334251964811
6610,Secret of the Magic Crystals,Casual,4.99,2010.0,638.0,6.459904454377535
6720,Wings of Prey,Simulation,9.99,2010.0,662.0,6.4967749901858625
6820,Fortix,Indie,0.99,2010.0,584.0,6.371611847231857
6860,Fortix 2,Casual,1.99,2011.0,264.0,5.579729825986222
6900,Dead Rising® 2,Action,19.99,2010.0,5846.0,8.67368398817567
6920,Ultra Street Fighter® IV,Action,29.99,2014.0,10457.0,9.255122514748075
6930,Dead Rising 2: Off the Record,Action,19.99,2011.0,2591.0,7.860185057472165
7240,NecroVisioN: Lost Company,Action,6.99,2010.0,409.0,6.016157159698354
7250,Star Wolves 3: Civil War,RPG,4.99,2010.0,517.0,6.249975242259483
7260,Star Wolves,RPG,3.99,2010.0,368.0,5.910796644040527
7270,Star Wolves 2,RPG,3.99,2010.0,134.0,4.90527477843843
7280,Theatre of War,Strategy,5.95,2010.0,289.0,5.66988092298052
7290,Theatre of War 2: Africa 1943,Simulation,4.99,2010.0,197.0,5.288267030694535
7410,Theatre of War 2: Kursk 1943,Simulation,4.99,2010.0,182.0,5.209486152841421
7430,Rig n Roll,Simulation,4.99,2010.0,377.0,5.934894195619588
7450,Greed: Black Border,Action,0.99,2010.0,206.0,5.332718793265369
7470,Avencast: Rise of the Mage,Action,4.99,2010.0,296.0,5.6937321388027
7490,Future Wars,Strategy,0.69,2010.0,231.0,5.44673737166631
7500,Grotesque Tactics: Evil Heroes,Indie,0.79,2010.0,317.0,5.762051382780177
7520,Still Life,Adventure,7.99,2011.0,833.0,6.726233402358747
7530,Still Life 2,Adventure,7.99,2011.0,454.0,6.12029741895095
7600,Syberia,Adventure,12.99,2011.0,3695.0,8.215006432761575
7610,Syberia II,Adventure,12.99,2011.0,1585.0,7.368970402194793
7620,Wasteland Angel,Action,4.99,2011.0,133.0,4.897839799950911
7630,Trapped Dead,Action,0.69,2011.0,517.0,6.249975242259483
7650,Post Mortem,Adventure,7.99,2011.0,333.0,5.811140992976701
7660,Robin Hood: The Legend of Sherwood,Strategy,7.99,2011.0,1244.0,7.126890808898808
7670,Grotesque Tactics 2 – Dungeons and Donuts,Adventure,0.79,2011.0,174.0,5.1647859739235145
7790,Dark Fall: Lost Souls,Adventure,12.99,2010.0,202.0,5.313205979041787
7810,Making History II: The War of the World,Indie,14.99,2010.0,325.0,5.786897381366708
7900,Stronghold 3 Gold,Simulation,29.99,2012.0,2907.0,7.97522083865341
